Table 2. Group definitions (ID, identification number	 PR, priority)						
Group	Description	Name	ID, PR	 PR	Occurs e.g. in		
  CH3	CH3 not connected to either N, O, F or Cl	CH3(ne)	1, 105	1, 105	Decane		
	CH3 connected to either N, O, F or Cl	CH3(e)	2, 103	2, 103	Dimethoxymethane, methyl butyl ether		
	CH3 connected to an aromatic atom (not necessarily C)	CH3(a)	3, 104	3, 104	Toluene, p-methyl-styrene		
							
  CH2	CH2 in a chain	C(c)H2	4, 112	4, 112	Butane		
	CH2 in a ring	C(r)H2	9, 113	9, 113	Cyclopentane		
							
  CH	CH in a chain	C(c)H	5, 119	5, 119	2-Methylpentane		
	CH in a ring	C(r)H	10, 118	10, 118	Methylcyclohexane		
							
  C	C in a chain	C(c)	6, 121	6, 121	Neopentane		
	C in a chain connected to at least one aromatic carbon	C(c)(a)	8, 109	8, 109	Ethylbenzene, diphenylmethane		
	C in a chain connected to at least one F, Cl, N or O	C(c)(e)	7, 108	7, 108	Ethanol		
	C in a ring	C(r)	11, 120	11, 120	Beta-pinene		
	C in a ring connected to at least one aromatic carbon	C(r)(Ca)	14, 107	14, 107	Indene, 2-methyl tetralin		
	C in a ring connected to, at least one N or O which are not part of the ring, or one Cl or F	C(r)(e,c)	12, 110	12, 110	Cyclopentanol, menthol		
	C in a ring connected to at least one N or O which are part of the ring	C(r)(e,r)	13, 111	13, 111	Morpholine, nicotine		
							
  C(a)	Aromatic CH	C(a)H	15, 106	15, 106	Benzene		
	Aromatic C not connected to either O,N,Cl or F	C(a)(ne)	16, 117	16, 117	Ethylbenzene, benzaldehyde		
	Aromatic C with three aromatic neighbors and three aromatic bonds	(a)C(a)2(a)	18, 115	18, 115	Naphthalene, quinoline		
	Aromatic C connected to either O,N,Cl or F	C(a)(e)	17, 114	17, 114	Aniline, phenol		
	Aromatic C with three aromatic neighbors and two aromatic bonds (aliphatic bridge bond between aromatic rings)	C(a)C(a)C2(a) (bridge)	214, 116	214, 116	Biphenyl, m-terphenyl		
							
  CC	H2CC (1-ene)	H2C(c)C	61, 57	61, 57	1-Hexene		
	CC (both C have at least one non-H neighbor)	C(c)C(c)	58, 62	58, 62	2-Heptene, mesityl oxide		
	Non-cyclic CC connected to at least one aromatic C	C(c)C(c)(C(a))	59, 59	59, 59	Isosafrole, cinnamic alcohol		
	Cyclic CC	C(r)C(r)	62, 60	62, 60	Cyclopentadiene		
	Non-cyclic CC substituted with at least one F, Cl, N or O	(e)C(c)C(c)	60, 58	60, 58	Trans-1,2-dichloroethylene, perfluoroisoprene		
							
  CC	HCC (1-ine)	HCC	64, 56	64, 56	1-Heptyne		
	CC with two non-H neighbors	CC	63, 61	63, 61	2-Octyne		
							
  CCC	Two cumulated double bonds	CCC	87, 5	87, 5	1,2-Butadiene, dimethyl allene		
							
  CCCC	Two conjugated double bonds in a ring	CCCC	88, 6	88, 6	Cyclopentadiene, abietic acid		
							
  CCCC	Two conjugated double bonds in a chain	CCCC	89, 7	89, 7	Isoprene, 1,3-hexadiene		
							
  CCCC	Two conjugated triple bonds	CCCC	95, 8	95, 8	2,4-Hexadiyne		
 Silicon							
  Si	Si	Si	70, 80	70, 80	Butylsilane		
	Si attached to no carbon or hydrogen	Si(C,H)0	216, 76	216, 76	Tetrachlorosilane, tetramethoxysilane		
	Si attached to one carbon or hydrogen	Si(C,H)1	215, 77	215, 77	Trichlorosilane, methyltrichlorosilane		
	Si attached to two carbon or hydrogen	Si(C,H)2	93, 78	93, 78	Dichlorodimethylsilane, dichlorodiethylsilane		
	Si attached to three carbon or hydrogen	Si(C,H)3	71, 79	71, 79	Hexamethyl disiloxane		
							
 Germanium							
  Ge	Ge connected to four carbons	(C)2Ge(C)2	86, 67	86, 67	Tetramethylgermane		
							
  GeCl3	GeCl3 connected to carbons	GeCl3	85, 12	85, 12	Fluorodimethylsilyl (trichlorogermanyl)methane		
							
 Tin							
  Sn	Sn connected to four carbons	(C)2Sn(C)2	83, 64	83, 64	Tetramethylstannane		
							
Periodic Group 13							
 Boron							
  B(O)3	Non-cyclic boric acid ester	B(O)3	78, 15	78, 15	Triethyl borate		
							
 Aluminum							
  Al	Al connected to at least one C or Si	Al	117, 47	117, 47	Triethylaluminum		
							
Abbreviations: e, very electronegative neighbors (N, O, F, Cl)	 ne, not very electronegative neighbors (not N, O, F, Cl)	 na, non-aromatic atom or neighbor	 a, aromatic atom or neighbor		 c atom or neighbor is part of a chain	 r, atom or neighbor is part of a ring	 z, groups considered to be non-additive.
							
a							
							
    Periodic group number of the most significant element in the structural group. Periodic group numbers are used as defined in the IUPAC version of the periodic table of elements.							
